Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,MatchID
1930,13 Jul 1930 - 15:00 ,Group 1,Pocitos,Montevideo ,France,4,1,Mexico, ,4444,3,0,1096
1930,13 Jul 1930 - 15:00 ,Group 4,Parque Central,Montevideo ,USA,3,0,Belgium, ,18346,2,0,1090
1930,14 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,2,1,Brazil, ,24059,2,0,1093
1930,14 Jul 1930 - 14:50 ,Group 3,Pocitos,Montevideo ,Romania,3,1,Peru, ,2549,1,0,1098
1930,15 Jul 1930 - 16:00 ,Group 1,Parque Central,Montevideo ,Argentina,1,0,France, ,23409,0,0,1085
1930,16 Jul 1930 - 14:45 ,Group 1,Parque Central,Montevideo ,Chile,3,0,Mexico, ,9249,1,0,1095
1930,17 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,4,0,Bolivia, ,18306,0,0,1092
1930,17 Jul 1930 - 14:45 ,Group 4,Parque Central,Montevideo ,USA,3,0,Paraguay, ,18306,2,0,1097
1930,18 Jul 1930 - 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,1,0,Peru, ,57735,0,0,1099
1930,19 Jul 1930 - 12:50 ,Group 1,Estadio Centenario,Montevideo ,Chile,1,0,France, ,2000,0,0,1094
1930,19 Jul 1930 - 15:00 ,Group 1,Estadio Centenario,Montevideo ,Argentina,6,3,Mexico, ,42100,3,1,1086
1930,20 Jul 1930 - 13:00 ,Group 2,Estadio Centenario,Montevideo ,Brazil,4,0,Bolivia, ,25466,1,0,1091
1930,20 Jul 1930 - 15:00 ,Group 4,Estadio Centenario,Montevideo ,Paraguay,1,0,Belgium, ,12000,1,0,1089
1930,21 Jul 1930 - 14:50 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,4,0,Romania, ,70022,4,0,1100
1930,22 Jul 1930 - 14:45 ,Group 1,Estadio Centenario,Montevideo ,Argentina,3,1,Chile, ,41459,2,1,1084
1930,26 Jul 1930 - 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Argentina,6,1,USA, ,72886,1,0,1088
1930,27 Jul 1930 - 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,6,1,Yugoslavia, ,79867,3,1,1101
1930,30 Jul 1930 - 14:15 ,Final,Estadio Centenario,Montevideo ,Uruguay,4,2,Argentina, ,68346,1,2,1087
1934,27 May 1934 - 16:30 ,Preliminary round,Stadio Benito Mussolini,Turin ,Austria,3,2,France,Austria win after extra time ,16000,0,0,1104
1934,27 May 1934 - 16:30 ,Preliminary round,Giorgio Ascarelli,Naples ,Hungary,4,2,Egypt, ,9000,2,2,1119
1934,27 May 1934 - 16:30 ,Preliminary round,San Siro,Milan ,Switzerland,3,2,Netherlands, ,33000,2,1,1133
1934,27 May 1934 - 16:30 ,Preliminary round,Littorale,Bologna ,Sweden,3,2,Argentina, ,14000,1,1,1102
1934,27 May 1934 - 16:30 ,Preliminary round,Giovanni Berta,Florence ,Germany,5,2,Belgium, ,8000,1,2,1108
1934,27 May 1934 - 16:30 ,Preliminary round,Luigi Ferraris,Genoa ,Spain,3,1,Brazil, ,21000,3,0,1111
1934,27 May 1934 - 16:30 ,Preliminary round,Nazionale PNF,Rome ,Italy,7,1,USA, ,25000,3,0,1135
1934,27 May 1934 - 16:30 ,Preliminary round,Littorio,Trieste ,Czechoslovakia,2,1,Romania, ,9000,0,1,1141
1934,31 May 1934 - 16:30 ,Quarter-finals,Stadio Benito Mussolini,Turin ,Czechoslovakia,3,2,Switzerland, ,12000,1,1,1143
1934,31 May 1934 - 16:30 ,Quarter-finals,San Siro,Milan ,Germany,2,1,Sweden, ,3000,0,0,1129
1934,31 May 1934 - 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,1,1,Spain, ,35000,0,0,1122
1934,31 May 1934 - 16:30 ,Quarter-finals,Littorale,Bologna ,Austria,2,1,Hungary, ,23000,1,0,1106
1934,01 Jun 1934 - 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,1,0,Spain, ,43000,1,0,1123
1934,03 Jun 1934 - 16:30 ,Semi-finals,San Siro,Milan ,Italy,1,0,Austria, ,35000,1,0,1107
1934,03 Jun 1934 - 16:30 ,Semi-finals,Nazionale PNF,Rome ,Czechoslovakia,3,1,Germany, ,15000,1,0,1130
1934,07 Jun 1934 - 18:00 ,Match for third place,Giorgio Ascarelli,Naples ,Germany,3,2,Austria, ,7000,3,1,1105
1934,10 Jun 1934 - 17:30 ,Final,Nazionale PNF,Rome ,Italy,2,1,Czechoslovakia,Italy win after extra time ,55000,0,0,1134
1938,04 Jun 1938 - 17:00 ,First round,Parc des Princes,Paris ,Switzerland,1,1,Germany, ,27152,0,0,1165
1938,05 Jun 1938 - 17:00 ,First round,Velodrome Municipale,Reims ,Hungary,6,0,Dutch East Indies, ,9000,4,0,1173
1938,05 Jun 1938 - 17:00 ,First round,Stade Olympique,Colombes ,France,3,1,Belgium, ,30454,2,1,1146
1938,05 Jun 1938 - 17:00 ,First round,Stade Municipal,Toulouse ,Cuba,3,3,Romania, ,7000,0,0,1156
1938,05 Jun 1938 - 17:00 ,First round,Stade V�lodrome,Marseilles ,Italy,2,1,Norway,Italy win after extra time ,19000,0,0,1179
1938,05 Jun 1938 - 17:30 ,First round,Stade de la Meinau,Strasbourg ,Brazil,6,5,Poland,Brazil win after extra time ,13452,0,0,1150
1938,05 Jun 1938 - 18:30 ,First round,Cavee Verte,Le Havre ,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time ,11000,0,0,1172
1938,09 Jun 1938 - 18:00 ,First round,Stade Municipal,Toulouse ,Cuba,2,1,Romania, ,8000,0,1,1157
1938,09 Jun 1938 - 18:00 ,First round,Parc des Princes,Paris ,Switzerland,4,2,Germany, ,20025,1,2,1166
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,1,1,Czechoslovakia, ,22021,0,0,1152
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Victor Boucquey,Lille ,Hungary,2,0,Switzerland, ,15000,1,0,1175
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Fort Carree,Antibes ,Sweden,8,0,Cuba, ,7000,4,0,1158
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Stade Olympique,Colombes ,Italy,3,1,France, ,58455,1,1,1164
1938,14 Jun 1938 - 18:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,2,1,Czechoslovakia, ,18141,0,1,1153
1938,16 Jun 1938 - 18:00 ,Semi-finals,Parc des Princes,Paris ,Hungary,5,1,Sweden, ,20000,3,1,1176
1938,16 Jun 1938 - 18:00 ,Semi-finals,Stade V�lodrome,Marseilles ,Italy,2,1,Brazil, ,33000,0,0,1149
1938,19 Jun 1938 - 17:00 ,Match for third place,Stade du Parc Lescure,Bordeaux ,Brazil,4,2,Sweden, ,12000,1,2,1151
1938,19 Jun 1938 - 17:00 ,Final,Stade Olympique,Colombes ,Italy,4,2,Hungary, ,45000,3,1,1174
1950,24 Jun 1950 - 15:00 ,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,4,0,Mexico, ,81649,1,0,1187
1950,25 Jun 1950 - 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,England,2,0,Chile, ,29703,1,0,1192
1950,25 Jun 1950 - 15:00 ,Group 2,Durival de Brito,Curitiba ,Spain,3,1,USA, ,9511,0,1,1208
1950,25 Jun 1950 - 15:00 ,Group 3,Pacaembu,Sao Paulo ,Sweden,3,2,Italy, ,36502,2,1,1219
1950,25 Jun 1950 - 15:00 ,Group 1,Independencia,Belo Horizonte ,Yugoslavia,3,0,Switzerland, ,7336,0,0,1230
1950,28 Jun 1950 - 15:00 ,Group 1,Pacaembu,Sao Paulo ,Brazil,2,2,Switzerland, ,42032,2,1,1188
1950,28 Jun 1950 - 15:00 ,Group 1,Eucaliptos,Porto Alegre ,Yugoslavia,4,1,Mexico, ,11078,2,0,1225
1950,29 Jun 1950 - 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,2,0,Chile, ,19790,2,0,1193
1950,29 Jun 1950 - 15:30 ,Group 3,Durival de Brito,Curitiba ,Sweden,2,2,Paraguay, ,7903,2,1,1228
1950,29 Jun 1950 - 15:00 ,Group 2,Independencia,Belo Horizonte ,USA,1,0,England, ,10151,1,0,1202
1950,01 Jul 1950 - 15:00 ,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,2,0,Yugoslavia, ,142429,1,0,1191
1950,02 Jul 1950 - 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,1,0,England, ,74462,0,0,1199
1950,02 Jul 1950 - 15:00 ,Group 3,Pacaembu,Sao Paulo ,Italy,2,0,Paraguay, ,25811,1,0,1218
1950,02 Jul 1950 - 15:00 ,Group 4,Independencia,Belo Horizonte ,Uruguay,8,0,Bolivia, ,5284,4,0,1185
1950,02 Jul 1950 - 15:40 ,Group 1,Eucaliptos,Porto Alegre ,Switzerland,2,1,Mexico, ,3580,2,0,1222
1950,02 Jul 1950 - 15:00 ,Group 2,Ilha do Retiro,Recife ,Chile,5,2,USA, ,8501,2,0,1194
1950,09 Jul 1950 - 15:00 ,Group 6,Pacaembu,Sao Paulo ,Uruguay,2,2,Spain, ,44802,1,2,1207
1950,09 Jul 1950 - 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,7,1,Sweden, ,138886,3,0,1189
1950,13 Jul 1950 - 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,6,1,Spain, ,152772,3,0,1186
1950,13 Jul 1950 - 15:00 ,Group 6,Pacaembu,Sao Paulo ,Uruguay,3,2,Sweden, ,7987,1,2,1231
1950,16 Jul 1950 - 15:00 ,Group 6,Pacaembu,Sao Paulo ,Sweden,3,1,Spain, ,11227,2,0,1206
1950,16 Jul 1950 - 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Uruguay,2,1,Brazil, ,173850,0,0,1190
1954,16 Jun 1954 - 18:00 ,Group 3,Wankdorf Stadium,Berne ,Uruguay,2,0,Czechoslovakia, ,20500,0,0,1315
1954,16 Jun 1954 - 18:00 ,Group 3,Hardturm,Zurich ,Austria,1,0,Scotland, ,25000,1,0,1236
1954,16 Jun 1954 - 18:00 ,Group 1,Charmilles,Geneva ,Brazil,5,0,Mexico, ,13470,4,0,1249
1954,16 Jun 1954 - 18:00 ,Group 1,La Pontaise,Lausanne ,Yugoslavia,1,0,France, ,16000,1,0,1276
1954,17 Jun 1954 - 18:00 ,Group 2,Wankdorf Stadium,Berne ,Germany FR,4,1,Turkey, ,28000,1,1,1283
1954,17 Jun 1954 - 18:00 ,Group 2,Hardturm,Zurich ,Hungary,9,0,Korea Republic, ,13000,4,0,1294
1954,17 Jun 1954 - 18:10 ,Group 4,St. Jakob,Basel ,England,4,4,Belgium, ,14000,0,0,1240
1954,17 Jun 1954 - 17:50 ,Group 4,La Pontaise,Lausanne ,Switzerland,2,1,Italy, ,43000,1,1,1300
1954,19 Jun 1954 - 16:50 ,Group 3,St. Jakob,Basel ,Uruguay,7,0,Scotland, ,34000,2,0,1313
1954,19 Jun 1954 - 17:00 ,Group 3,Hardturm,Zurich ,Austria,5,0,Czechoslovakia, ,26000,4,0,1238
1954,19 Jun 1954 - 17:10 ,Group 1,Charmilles,Geneva ,France,3,2,Mexico, ,19000,1,0,1275
1954,19 Jun 1954 - 17:00 ,Group 1,La Pontaise,Lausanne ,Brazil,1,1,Yugoslavia, ,24637,0,0,1252
1954,20 Jun 1954 - 16:50 ,Group 2,St. Jakob,Basel ,Hungary,8,3,Germany FR, ,56000,3,1,1277
1954,20 Jun 1954 - 17:00 ,Group 2,Charmilles,Geneva ,Turkey,7,0,Korea Republic, ,4000,4,0,1304
1954,20 Jun 1954 - 17:10 ,Group 4,Wankdorf Stadium,Berne ,England,2,0,Switzerland, ,43500,1,0,1263
1954,20 Jun 1954 - 17:00 ,Group 4,Comunale di Cornaredo,Lugano ,Italy,4,1,Belgium, ,24000,1,0,1243
1954,23 Jun 1954 - 18:00 ,Group 2,Hardturm,Zurich ,Germany FR,7,2,Turkey, ,17000,3,1,1284
1954,23 Jun 1954 - 18:00 ,Group 4,St. Jakob,Basel ,Switzerland,4,1,Italy, ,30000,1,0,1301
1954,26 Jun 1954 - 17:00 ,Quarter-finals,St. Jakob,Basel ,Uruguay,4,2,England, ,28000,2,1,1264
1954,26 Jun 1954 - 17:00 ,Quarter-finals,La Pontaise,Lausanne ,Austria,7,5,Switzerland, ,35000,5,4,1237
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Charmilles,Geneva ,Germany FR,2,0,Yugoslavia, ,17000,1,0,1285
1954,27 Jun 1954 - 17:00 ,Quarter-finals,Wankdorf Stadium,Berne ,Hungary,4,2,Brazil, ,40000,2,1,1248
1954,30 Jun 1954 - 18:00 ,Semi-finals,St. Jakob,Basel ,Germany FR,6,1,Austria, ,58000,1,0,1233
1954,30 Jun 1954 - 18:00 ,Semi-finals,La Pontaise,Lausanne ,Hungary,4,2,Uruguay,Hungary win after extra time ,45000,0,0,1295
1954,03 Jul 1954 - 17:00 ,Match for third place,Hardturm,Zurich ,Austria,3,1,Uruguay, ,32000,1,1,1239
1954,04 Jul 1954 - 17:00 ,Final,Wankdorf Stadium,Berne ,Germany FR,3,2,Hungary, ,62500,2,2,1278
1958,08 Jun 1958 - 14:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,3,0,Mexico, ,34107,1,0,1415
1958,08 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Soviet Union,2,2,England, ,49348,1,0,1372
1958,08 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Argentina,1,3,Germany FR, ,31156,1,2,1323
1958,08 Jun 1958 - 19:00 ,Group 3,Jarnvallen,Sandviken ,Hungary,1,1,Wales, ,15343,1,1,1407
1958,08 Jun 1958 - 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,France,7,3,Paraguay, ,16518,2,2,1386
1958,08 Jun 1958 - 19:00 ,Group 2,Arosvallen,Vasteras ,Yugoslavia,1,1,Scotland, ,9591,1,0,1434
1958,08 Jun 1958 - 19:00 ,Group 4,Rimnersvallen,Udevalla ,Brazil,3,0,Austria, ,17788,1,0,1326
1958,08 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Halmstad ,Northern Ireland,1,0,Czechoslovakia, ,10647,1,0,1421
1958,11 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Brazil,0,0,England, ,40895,0,0,1339
1958,11 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Mexico,1,1,Wales, ,15150,0,1,1418
1958,11 Jun 1958 - 19:00 ,Group 2,Idrottsparken,Norrk�Ping ,Paraguay,3,2,Scotland, ,11665,2,1,1423
1958,11 Jun 1958 - 19:00 ,Group 2,Arosvallen,Vasteras ,Yugoslavia,3,2,France, ,12217,1,1,1388
1958,11 Jun 1958 - 19:00 ,Group 4,Ryavallen,Boras ,Soviet Union,2,0,Austria, ,21239,1,0,1332
1958,11 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Germany FR,2,2,Czechoslovakia, ,25000,0,2,1391
1958,11 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Halmstad ,Argentina,3,1,Northern Ireland, ,14174,1,1,1324
1958,12 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,2,1,Hungary, ,38850,1,0,1406
1958,15 Jun 1958 - 14:00 ,Group 3,Rasunda Stadium,Solna ,Sweden,0,0,Wales, ,30287,0,0,1438
1958,15 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Brazil,2,0,Soviet Union, ,50928,1,0,1344
1958,15 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Germany FR,2,2,Northern Ireland, ,21990,1,1,1389
1958,15 Jun 1958 - 19:00 ,Group 3,Jarnvallen,Sandviken ,Hungary,4,0,Mexico, ,13300,1,0,1403
1958,15 Jun 1958 - 19:00 ,Group 2,Tunavallen,Eskilstuna ,Paraguay,3,3,Yugoslavia, ,13103,1,2,1426
1958,15 Jun 1958 - 19:00 ,Group 2,Eyravallen,Orebro ,France,2,1,Scotland, ,13554,2,0,1387
1958,15 Jun 1958 - 19:00 ,Group 4,Ryavallen,Boras ,England,2,2,Austria, ,15872,0,1,1327
1958,15 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Czechoslovakia,6,1,Argentina, ,16418,3,0,1325
1958,17 Jun 1958 - 19:00 ,Group 4,Nya Ullevi,Gothenburg ,Soviet Union,1,0,England, ,23182,0,0,1373
1958,17 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Northern Ireland,2,1,Czechoslovakia,Northern Ireland win after extra time ,6196,0,0,1422
1958,17 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Wales,2,1,Hungary, ,2823,0,1,1408
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Nya Ullevi,Gothenburg ,Brazil,1,0,Wales, ,25923,0,0,1345
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Malmo Stadion,Malm� ,Germany FR,1,0,Yugoslavia, ,20055,1,0,1392
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Rasunda Stadium,Solna ,Sweden,2,0,Soviet Union, ,31900,0,0,1437
1958,19 Jun 1958 - 19:00 ,Quarter-finals,Idrottsparken,Norrk�Ping ,France,4,0,Northern Ireland, ,11800,1,0,1385
1958,24 Jun 1958 - 19:00 ,Semi-finals,Nya Ullevi,Gothenburg ,Sweden,3,1,Germany FR, ,49471,1,1,1390
1958,24 Jun 1958 - 19:00 ,Semi-finals,Rasunda Stadium,Solna ,Brazil,5,2,France, ,27100,2,1,1340
1958,28 Jun 1958 - 17:00 ,Match for third place,Nya Ullevi,Gothenburg ,France,6,3,Germany FR, ,32483,3,1,1382
1958,29 Jun 1958 - 15:00 ,Final,Rasunda Stadium,Solna ,Brazil,5,2,Sweden, ,49737,2,1,1343
1962,30 May 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Uruguay,2,1,Colombia, ,7908,0,1,1479
1962,30 May 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,2,0,Mexico, ,10484,0,0,1461
1962,30 May 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Argentina,1,0,Bulgaria, ,7134,1,0,1447
1962,30 May 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Chile,3,1,Switzerland, ,65006,1,1,1473
1962,31 May 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,2,0,Yugoslavia, ,9622,0,0,1563
1962,31 May 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Czechoslovakia,1,0,Spain, ,12700,0,0,1498
1962,31 May 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,2,1,England, ,7938,1,0,1490
1962,31 May 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,0,0,Italy, ,65440,0,0,1507
1962,02 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Yugoslavia,3,1,Uruguay, ,8829,2,1,1564
1962,02 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,0,0,Czechoslovakia, ,14903,0,0,1462
1962,02 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,England,3,1,Argentina, ,9794,2,0,1450
1962,02 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Chile,2,0,Italy, ,66057,0,0,1472
1962,03 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,4,4,Colombia, ,8040,3,1,1478
1962,03 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Spain,1,0,Mexico, ,11875,0,0,1497
1962,03 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,6,1,Bulgaria, ,7442,4,0,1470
1962,03 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,2,1,Switzerland, ,64922,1,0,1510
1962,06 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Soviet Union,2,1,Uruguay, ,9973,1,0,1562
1962,06 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Brazil,2,1,Spain, ,18715,0,1,1460
1962,06 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,Hungary,0,0,Argentina, ,7945,0,0,1451
1962,06 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Germany FR,2,0,Chile, ,67224,1,0,1471
1962,07 Jun 1962 - 15:00 ,Group 1,Carlos Dittborn,Arica ,Yugoslavia,5,0,Colombia, ,7167,2,0,1480
1962,07 Jun 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Mexico,3,1,Czechoslovakia, ,10648,2,1,1544
1962,07 Jun 1962 - 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua ,England,0,0,Bulgaria, ,5700,0,0,1464
1962,07 Jun 1962 - 15:00 ,Group 2,Nacional,Santiago De Chile ,Italy,3,0,Switzerland, ,59828,1,0,1532
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Carlos Dittborn,Arica ,Chile,2,1,Soviet Union, ,17268,2,1,1474
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Estadio Sausalito,Vina Del Mar ,Brazil,3,1,England, ,17736,1,1,1459
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Estadio El Teniente-Codelco,Rancagua ,Czechoslovakia,1,0,Hungary, ,11690,1,0,1525
1962,10 Jun 1962 - 14:30 ,Quarter-finals,Nacional,Santiago De Chile ,Yugoslavia,1,0,Germany FR, ,63324,0,0,1511
1962,13 Jun 1962 - 14:30 ,Semi-finals,Estadio Sausalito,Vina Del Mar ,Czechoslovakia,3,1,Yugoslavia, ,5890,0,0,1559
1962,13 Jun 1962 - 14:30 ,Semi-finals,Nacional,Santiago De Chile ,Brazil,4,2,Chile, ,76594,2,1,1458
1962,16 Jun 1962 - 14:30 ,Match for third place,Nacional,Santiago De Chile ,Chile,1,0,Yugoslavia, ,66697,0,0,1475
1962,17 Jun 1962 - 14:30 ,Final,Nacional,Santiago De Chile ,Brazil,3,1,Czechoslovakia, ,68679,1,1,1463
1966,11 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,England,0,0,Uruguay, ,87148,0,0,1636
1966,12 Jul 1966 - 19:30 ,Group 2,Hillsborough,Sheffield ,Germany FR,5,0,Switzerland, ,36127,3,0,1656
1966,12 Jul 1966 - 19:30 ,Group 3,Goodison Park,Liverpool ,Brazil,2,0,Bulgaria, ,47308,1,0,1596
1966,12 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Soviet Union,3,0,Korea DPR, ,23006,2,0,1710
1966,13 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,France,1,1,Mexico, ,69237,0,0,1650
1966,13 Jul 1966 - 19:30 ,Group 3,Old Trafford Stadium,Manchester ,Portugal,3,1,Hungary, ,29886,1,0,1675
1966,13 Jul 1966 - 19:30 ,Group 2,Villa Park,Birmingham ,Argentina,2,1,Spain, ,42738,0,0,1578
1966,13 Jul 1966 - 19:30 ,Group 4,Roker Park Ground,Sunderland ,Italy,2,0,Chile, ,27199,1,0,1608
1966,15 Jul 1966 - 19:30 ,Group 1,White City,London ,Uruguay,2,1,France, ,45662,2,1,1653
